text,category
please tweet the following complaint,social_post
tweet insight cable's customer service and tell them i have been waiting on hold for thirty minutes,social_post
it would be nice if you post status for me,social_post
tweet consumer service that the goods are of low quality,social_post
show me my social media notifications,social_query
have i got new content in my twitter feed,social_query
did mark post anything new on facebook,social_query
is there any post from my friend mike in facebook,social_query
do i have new likes,social_query
schedule a delivery from food at the nearby takeaway diner,takeaway_order
i'm hungry show me some takeaway food,takeaway_order
start a takeaway order for me,takeaway_order
order chinese for delivery,takeaway_order
please put in an order from red thai fpr this evening,takeaway_order
is michael's a takeaway or delivery restaurant,takeaway_query
restaurant delivery update,takeaway_query
does arby's do takeaway,takeaway_query
look up whether or not charley's steakhouse delivers,takeaway_query
does restaurant royale deliver takeaway,takeaway_query
what are the prices to get to chicago on a train book the cheapest one,transport_query
please tell em the list of trains to chicago via california,transport_query
train to athens how to,transport_query
when is the next train leaving for austin,transport_query
direct me towards nearest railway station,transport_query
find transportation to rome,transport_taxi
look for a taxi to go home,transport_taxi
book a taxi at my home address for right now,transport_taxi
taxi now,transport_taxi
call me a cab to the train station,transport_taxi
book me a train ticket to atlanta please,transport_ticket
get me a seat on the next train going to new york,transport_ticket
book next ny train ticket,transport_ticket
buy me a ticket to boston,transport_ticket
order a train ticket to boston,transport_ticket
traffic please,transport_traffic
are there any roadblocks,transport_traffic
how's the traffic,transport_traffic
what is the traffic today,transport_traffic
tell me the traffic condition from here to home,transport_traffic
weather forecast please,weather_query
is it sunny in gonbad now,weather_query
what's the temperature,weather_query
what is today's weather in springfield,weather_query
i want the complete weather details of seventh march,weather_query
